ID,data,firma,pojemniki przyjęte E2,pojemniki przyjęte E1,pojemniki oddane E2,pojemniki oddane E1,różnica E2,różnica E1
112,12/03/2025,łuków,110,180,0,0,-110,-180
113,13/03/2025,publimar,1570,109,0,0,-1570,-109
114,14/03/2025,publimar,1050,148,0,0,-1050,-148
115,14/03/2025,indykpol,142,0,158,1,0,0,-16,0
116,14/03/2025,łuków,20,30,0,0,-20,-30
117,16/03/2025,publimar,1300,120,0,0,-1300,-120
118,17/03/2025,publimar,1080,120,0,0,-1080,-120
119,17/03/2025,indykpol,496,60,19,0,-477,-60
120,17/03/2025,łuków,40,40,0,0,-40,-40
121,18/03/2025,publimar,1750,120,0,0,-1750,-120
122,19/03/2025,publimar,1020,80,0,0,-1020,-80
123,19/03/2025,indykpol,176,0,4,0,-172,0
124,20/03/2025,publimar,1490,80,0,0,-1490,-80
125,21/03/2025,publimar,770,120,0,0,-770,-120
126,21/03/2025,indykpol,50,54,0,0,-50,-54
127,21/03/2025,łuków,80,32,0,0,-80,-32
128,23/03/2025,publimar,1310,160,0,0,-1310,-160
129,24/03/2025,publimar,1270,130,0,0,-1270,-130
130,24/03/2025,indykpol,53,24,0,0,-53,-24
131,25/03/2025,publimar,1160,80,0,0,-1160,-80
132,26/03/2025,publimar,1200,80,0,0,-1200,-80
133,26/03/2025,indykpol,311,120,4,0,-307,-120
134,26/03/2025,łuków,320,320,0,0,-320,-320
135,27/03/2025,publimar,1530,120,0,0,-1530,-120
136,28/03/2025,publimar,1440,200,0,0,-1440,-200
137,28/03/2025,łuków,30,100,0,0,-30,-100
138,30/03/2025,publimar,1230,120,0,0,-1230,-120
139,31/03/2025,publimar,1110,111,0,0,-1110,-111
140,31/03/2025,indykpol,50,68,0,0,-50,-68
141,31/03/2025,łuków,140,0,0,0,-140,0
142,01/04/2025,publimar,1830,80,0,0,-1830,-80
143,02/04/2025,publimar,1640,120,0,0,-1640,-120
144,02/04/2025,indykpol,17,20,4,0,-13,-20
145,02/04/2025,łuków,40,40,0,0,-40,-40
146,03/04/2025,publimar,1550,120,0,0,-1550,-120
147,04/04/2025,indykpol,44,60,6,0,-38,-60
148,05/04/2025,publimar,1120,160,0,0,-1120,-160
149,06/04/2025,publimar,1350,160,0,0,-1350,-160
150,07/04/2025,publimar,1520,132,0,0,-1520,-132
151,07/04/2025,indykpol,228,30,0,0,-228,-30
152,08/04/2025,publimar,1300,80,0,0,-1300,-80
153,09/04/2025,publimar,1800,80,0,0,-1800,-80
154,09/04/2025,indykpol,35,33,0,0,-35,-33
155,10/04/2025,publimar,1580,160,0,0,-1580,-160
156,10/04/2025,indykpol,216,210,0,0,-216,-210
157,11/04/2025,publimar,1720,120,0,0,-1720,-120
158,11/04/2025,indykpol,214,33,0,0,-214,-33
159,11/04/2025,łuków,80,20,0,0,-80,-20
160,13/04/2025,publimar,1390,188,0,0,-1390,-188
161,14/04/2025,publimar,1420,150,0,0,-1420,-150
162,14/04/2025,indykpol,13,20,0,0,-13,-20
163,14/04/2025,łuków,190,20,0,0,-190,-20
164,15/04/2025,publimar,2070,240,0,0,-2070,-240
165,16/04/2025,publimar,1540,160,0,0,-1540,-160
166,16/04/2025,indykpol,307,40,15,0,-292,-40
167,16/04/2025,łuków,80,50,0,0,-80,-50
168,17/04/2025,publimar,1060,228,0,0,-1060,-228
169,18/04/2025,publimar,0,0,220,220,220,220
