data;firma;pojemniki przyjęte E2;pojemniki przyjęte E1;pojemniki oddane E2;pojemniki oddane E1
16.02.2025;publimar;96;0;240;0
17.02.2025;publimar;83;0;40;0
17.02.2025;indykpol;21;6;15;4
17.02.2025;łuków;12;0;12;0
18.02.2025;publimar;131;0;120;0
19.02.2025;publimar;81;0;80;0
19.02.2025;indykpol;25;2;0;7
20.02.2025;publimar;101;0;80;0
20.02.2025;łuków;5;0;5;0
21.02.2025;publimar;103;0;160;0
21.02.2025;indykpol;8;0;0;0
23.02.2025;publimar;122;0;122;0
24.02.2025;publimar;110;0;120;0
24.02.2025;indykpol;26;7;20;0
25.02.2025;publimar;66;0;80;0
26.02.2025;publimar;134;0;40;0
26.02.2025;indykpol;63;0;63;7
27.02.2025;publimar;152;0;82;0
28.02.2025;publimar;63;0;102;0
28.02.2025;indykpol;60;2;50;2
28.02.2025;łuków;5;0;20;0
02.03.2025;publimar;134;0;120;0
03.03.2025;publimar;124;0;94;0
04.03.2025;publimar;113;0;110;0
05.03.2025;publimar;144;0;120;0
05.03.2025;indykpol;12;11;10;3
05.03.2025;łuków;4;0;40;0
06.03.2025;publimar;124;0;120;0
07.03.2025;publimar;52;0;120;0
07.03.2025;indykpol;5;5;10;9
07.03.2025;łuków;11;0;11;0
09.03.2025;publimar;143;0;160;0
10.03.2025;publimar;85;0;81;0
10.03.2025;indykpol;8;0;14;3
10.03.2025;łuków;3;0;6;0
11.03.2025;publimar;139;0;120;0
12.03.2025;publimar;133;0;80;0
12.03.2025;indykpol;25;4;10;0
12.03.2025;łuków;11;0;18;0
13.03.2025;publimar;157;0;109;0
14.03.2025;publimar;105;0;148;0
14.03.2025;indykpol;14;20;15;8
14.03.2025;łuków;2;0;30;0
16.03.2025;publimar;130;0;120;0
17.03.2025;publimar;108;0;120;0
17.03.2025;indykpol;49;6;60;19
17.03.2025;łuków;4;0;4;0
18.03.2025;publimar;175;0;120;0
19.03.2025;publimar;102;0;80;0
19.03.2025;indykpol;17;6;0;4
20.03.2025;publimar;149;0;80;0
21.03.2025;publimar;77;0;120;0
21.03.2025;indykpol;5;0;5;4
21.03.2025;łuków;8;0;32;0
23.03.2025;publimar;131;0;160;0
24.03.2025;publimar;127;0;130;0
24.03.2025;indykpol;53;2;40;2
25.03.2025;publimar;116;0;80;0
26.03.2025;publimar;120;0;80;0
26.03.2025;indykpol;31;11;20;4
26.03.2025;łuków;32;0;32;0
27.03.2025;publimar;153;0;120;0
28.03.2025;publimar;144;0;200;0
28.03.2025;łuków;3;0;10;0
30.03.2025;publimar;123;0;120;0
31.03.2025;publimar;111;0;111;0
31.03.2025;indykpol;50;6;80;11
31.03.2025;łuków;14;0;0;0
01.04.2025;publimar;183;0;80;0
02.04.2025;publimar;164;0;120;0
02.04.2025;indykpol;17;2;0;4
02.04.2025;łuków;4;0;40;0
03.04.2025;publimar;155;0;120;0
04.04.2025;indykpol;4;4;60;6
05.04.2025;publimar;112;0;160;0
06.04.2025;publimar;135;0;160;0
07.04.2025;publimar;152;0;132;0
07.04.2025;indykpol;22;8;30;0
08.04.2025;publimar;130;0;80;0
09.04.2025;publimar;180;0;80;0
09.04.2025;indykpol;35;3;30;11
10.04.2025;publimar;158;0;160;0
10.04.2025;indykpol;21;6;21;0
11.04.2025;publimar;172;0;120;0
11.04.2025;indykpol;21;4;33;0
11.04.2025;łuków;8;0;20;0
13.04.2025;publimar;139;0;188;0
14.04.2025;publimar;142;0;150;0
14.04.2025;indykpol;13;2;0;0
14.04.2025;łuków;19;0;20;0
15.04.2025;publimar;207;0;240;0
16.04.2025;publimar;154;0;160;0
16.04.2025;indykpol;30;7;40;15
16.04.2025;łuków;8;0;50;0
17.04.2025;publimar;106;0;228;0
18.04.2025;publimar;0;0;22;0
17.04.2025;łuków;10;0;10;0
23.04.2025;indykpol;0;0;80;11
22.04.2025;publimar;137;0;160;0
23.04.2025;publimar;172;0;70;0
24.04.2025;łuków;3;0;3;0
24.04.2025;publimar;224;0;160;0
25.04.2025;łuków;28;0;30;0
25.04.2025;indykpol;14;1;20;1
25.04.2025;publimar;99;0;160;0
27.04.2025;publimar;148;0;200;0
28.04.2025;łuków;2;0;2;0
28.04.2025;indykpol;41;4;41;0
28.04.2025;publimar;100;0;80;0
29.04.2025;łuków;4;0;4;0
29.04.2025;publimar;199;0;108;0
30.04.2025;indykpol;8;0;0;0
01.05.2025;publimar;185;0;188;0
02.05.2025;indykpol;19;4;50;4
04.05.2025;publimar;88;0;120;0
05.05.2025;indykpol;43;4;43;4
05.05.2025;publimar;93;0;84;0
06.05.2025;publimar;42;0;30;0
06.05.2025;publimar;176;0;120;0
07.05.2025;indykpol;15;7;20;7
07.05.2025;łuków;19;0;20;0
07.05.2025;publimar;140;0;200;0
08.05.2025;publimar;114;0;121;0
09.05.2025;indykpol;9;4;30;4
09.05.2025;łuków;3;0;23;0
09.05.2025;indykpol;0;6;0;0
09.05.2025;publimar;138;0;210;0
11.05.2025;publimar;104;0;120;0
12.05.2025;łuków;13;0;13;0
12.05.2025;indykpol;2;0;2;0
12.05.2025;indykpol;29;4;40;8
12.05.2025;publimar;76;0;71;0
13.05.2025;publimar;122;0;80;0
14.05.2025;łuków;10;0;0;0
14.05.2025;indykpol;17;3;10;7
14.05.2025;publimar;168;0;80;0
15.05.2025;publimar;124;0;160;0
16.05.2025;indykpol;10;0;20;2
16.05.2025;publimar;138;0;155;0
18.05.2025;publimar;116;0;120;0
19.05.2025;indykpol;24;3;40;0
19.05.2025;łuków;1;0;22;0
19.05.2025;publimar;127;0;80;0
20.05.2025;publimar;158;0;80;0
20.05.2025;indykpol;31;5;20;3
20.05.2025;indykpol;0;28;0;0
20.05.2025;łuków;6;0;6;0
21.05.2025;publimar;111;0;111;0
22.05.2025;publimar;133;0;121;0
23.05.2025;indykpol;28;0;0;0
23.05.2025;indykpol;23;0;40;30
23.05.2025;łuków;8;5;13;5
23.05.2025;publimar;108;0;60;0
