data,firma,E2 box intake,E1 box intake,E2 box return,E1 box return
17/02/2025,publimar,83,0,40,0
17/02/2025,indykpol,21,6,15,4
17/02/2025,łuków,12,0,12,0
18/02/2025,publimar,131,0,120,0
19/02/2025,publimar,81,0,80,0
19/02/2025,indykpol,25,2,0,7
20/02/2025,publimar,101,0,80,0
20/02/2025,łuków,5,0,5,0
21/02/2025,publimar,103,0,160,0
21/02/2025,indykpol,8,0,0,0
23/02/2025,publimar,122,0,122,0
24/02/2025,publimar,110,0,120,0
24/02/2025,indykpol,26,7,20,0
25/02/2025,publimar,66,0,80,0
26/02/2025,publimar,134,0,40,0
26/02/2025,indykpol,63,0,63,7
27/02/2025,publimar,152,0,82,0
28/02/2025,publimar,63,0,102,0
28/02/2025,indykpol,60,2,50,2
28/02/2025,łuków,5,0,20,0
02/03/2025,publimar,134,0,120,0
03/03/2025,publimar,124,0,94,0
04/03/2025,publimar,113,0,110,0
05/03/2025,publimar,144,0,120,0
05/03/2025,indykpol,12,11,10,3
05/03/2025,łuków,4,0,40,0
06/03/2025,publimar,124,0,120,0
07/03/2025,publimar,52,0,120,0
07/03/2025,indykpol,5,5,10,9
07/03/2025,łuków,11,0,11,0
09/03/2025,publimar,143,0,160,0
10/03/2025,publimar,85,0,81,0
10/03/2025,indykpol,8,0,14,3
10/03/2025,łuków,3,0,6,0
11/03/2025,publimar,139,0,120,0
12/03/2025,publimar,133,0,80,0
12/03/2025,indykpol,25,4,10,0
12/03/2025,łuków,11,0,18,0
13/03/2025,publimar,157,0,109,0
14/03/2025,publimar,105,0,148,0
14/03/2025,indykpol,14,20,15,8
14/03/2025,łuków,2,0,30,0
16/03/2025,publimar,130,0,120,0
17/03/2025,publimar,108,0,120,0
17/03/2025,indykpol,49,6,60,19
17/03/2025,łuków,4,0,4,0
18/03/2025,publimar,175,0,120,0
19/03/2025,publimar,102,0,80,0
19/03/2025,indykpol,17,6,0,4
20/03/2025,publimar,149,0,80,0
21/03/2025,publimar,77,0,120,0
21/03/2025,indykpol,5,0,5,4
21/03/2025,łuków,8,0,32,0
23/03/2025,publimar,131,0,160,0
24/03/2025,publimar,127,0,130,0
24/03/2025,indykpol,53,2,40,2
25/03/2025,publimar,116,0,80,0
26/03/2025,publimar,120,0,80,0
26/03/2025,indykpol,31,11,20,4
26/03/2025,łuków,32,0,32,0
27/03/2025,publimar,153,0,120,0
28/03/2025,publimar,144,0,200,0
28/03/2025,łuków,3,0,10,0
30/03/2025,publimar,123,0,120,0
31/03/2025,publimar,111,0,111,0
31/03/2025,indykpol,50,6,80,11
31/03/2025,łuków,14,0,0,0
01/04/2025,publimar,183,0,80,0
02/04/2025,publimar,164,0,120,0
02/04/2025,indykpol,17,2,0,4
02/04/2025,łuków,4,0,40,0
03/04/2025,publimar,155,0,120,0
04/04/2025,indykpol,4,4,60,6
05/04/2025,publimar,112,0,160,0
06/04/2025,publimar,135,0,160,0
07/04/2025,publimar,152,0,132,0
07/04/2025,indykpol,22,8,30,0
08/04/2025,publimar,130,0,80,0
09/04/2025,publimar,180,0,80,0
09/04/2025,indykpol,35,3,30,11
10/04/2025,publimar,158,0,160,0
10/04/2025,indykpol,21,6,21,0
11/04/2025,publimar,172,0,120,0
11/04/2025,indykpol,21,4,33,0
11/04/2025,łuków,8,0,20,0
13/04/2025,publimar,139,0,188,0
14/04/2025,publimar,142,0,150,0
14/04/2025,indykpol,13,2,0,0
14/04/2025,łuków,19,0,20,0
15/04/2025,publimar,207,0,240,0
16/04/2025,publimar,154,0,160,0
16/04/2025,indykpol,30,7,40,15
16/04/2025,łuków,8,0,50,0
17/04/2025,publimar,106,0,228,0
18/04/2025,publimar,0,0,22,0
